message,signal
سلام استاد وقت بخیر.خگستر 6درصد سودم بفروشم یا نگهداری .ممنون,No Signal
هم وسدید بفروشید هم از ایران برید,Sell Signal
"ثفارس چهارشنبه گفتم بررسی،الانم هنوز بنظر مناسب خرید هست ،پله ای فراموش نشه",Buy Signal
شستا بخر,Buy Signal
"#ثاباد 
فول بنیادی 
قیمت عالی",Buy Signal
"با گذشت یک ساعت از شروع معاملات ریزش شاخص شدت زیادی ندارد و شاخص هموزن همچنان مثبت است.

کارگزاری آرمان تدبیر؛ #حامی_هوشمند 
@ArmanTadbir",No Signal
"سرمایه گذاری گروه توسعه ملی در حال جمع کردن #سکرما است . 

1401/4/12

.",Buy Signal
#وجامی فرصت ورود👌,Buy Signal
#فزر سهم ارزشمند قابل بررسی هست با این پی بر ایی توانایی رسیدن به قیمت 6000 تومن را دارد,Buy Signal
شستا بفروشید به مابقی سهم هاتون مثل چند پالایشی و فولاد اضافه کنید,Sell Signal
قطعا ی خبری هست دارن سهما رو مفت جم می‌کنند,Buy Signal
"وبملت 286 تومان مفت
⚡️😁",Buy Signal
"#وجامی 

فروشنده عادت کرده و سبک فروشش لو رفته ... 

از اونور خریدار کارش رو بلده داره خوب می‌خره 


حالا این وسط بازیگر مونده 

سهم بره بالا از دستش در می‌ره 

بیاد پایین جای مناسب از همه سهم ها خارج میشیم #وجامی  می‌خریم  باز از دست میده سهم 

اندکی کمی تامل",Buy Signal
برگشت عالی #قشرین....,Buy Signal
"واچ لیست فردا (نوسانگیری کوتاه مدت)
#تپمپی
#وصندوق
#تپیکو
#ریشمک",Buy Signal
"درمنفیها این سهام را بخرید
فزر
مدیریت
وکبهمن
اتکام
تملت
شاملا
کفرآور
فسازان
چدن
غویتا
زماهان",Buy Signal
فسا هم بچه های سهامدار خوب اضافه کردن,Buy Signal
پشنهاد من اینه اگه بیش از 4سال میخوایین سهامداری کنید بجز برکت بقیه رو نگه دارید.اما من خودم بودم تمام این سهام شاخص سازو میفروختم و به دو سهم با دو دیدگاه تبدیل میکردم 1.چکاوه(با دید بلند مدت1یا 2ساله با سود عالی چند برابری)2.خوساز(با دید کوتاه مدت 3ماهه با سود احتمالی بیش از 50درصد),Buy Signal
"#روسیه  #نفت #انرژی

جهت اطلاع اعضای محترم، از زمان حمله به #اوکرایین ... کشور روسیه موفق به صادرات 24 میلیارد دلاری انرژی به دو کشور #هند و #چین شده است!  صادرات انرژی روسیه به #هند 5 برابر سال قبل بوده و به 5.1 میلیارد دلار در این بازه رسیده است!

#کامودیتی  رشد قیمتهای جهانی #نفت دست #بایدن و متحدان اروپایی را در محدودکردن صادرات #روسیه بسته و این موضوع تبدیل به یک چالش جدی برای غرب شده است
@Commodities",No Signal
"#پیشنهاد_بررسی 

#خودرو
#خساپا
#خپارس
#خبهمن
#خزامیا
در محدوده تکنیکالی مناسب برای ورود و سهامداری

@Karimi_bourse",Buy Signal
